test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000051	XLOC_000051	DFFB	chr1:3773844-3803258	hepg2_hr2	hepg2_hr3	OK	2.97393	3.82323	0.362421	1.45755	0.1403	0.999565	no
XLOC_000052	XLOC_000052	LOC100133612	chr1:3816937-3834097	hepg2_hr2	hepg2_hr3	OK	1.44749	1.70452	0.235805	0.567102	0.55435	0.999565	no
XLOC_000053	XLOC_000053	LOC284661	chr1:4472110-4484744	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000054	XLOC_000054	AJAP1	chr1:4715104-4843851	hepg2_hr2	hepg2_hr3	NOTEST	0.0349513	0	-inf	0	1	1	no
XLOC_000055	XLOC_000055	KCNAB2	chr1:5922021-6161253	hepg2_hr2	hepg2_hr3	OK	6.40811	6.53563	0.0284273	0.107754	0.9142	0.999565	no
XLOC_000056	XLOC_000056	RNF207	chr1:6265650-6296076	hepg2_hr2	hepg2_hr3	OK	2.68555	2.7363	0.0270106	0.0412071	0.96645	0.999565	no
XLOC_000057	XLOC_000057	-	chr1:6296165-6299471	hepg2_hr2	hepg2_hr3	NOTEST	0.181771	0.0721542	-1.33297	0	1	1	no
XLOC_000058	XLOC_000058	HES3	chr1:6304251-6305638	hepg2_hr2	hepg2_hr3	NOTEST	0.143781	0	-inf	0	1	1	no
XLOC_000059	XLOC_000059	ESPN	chr1:6484840-6580069	hepg2_hr2	hepg2_hr3	OK	23.896	24.2946	0.0238629	0.0956774	0.9212	0.999565	no
XLOC_000060	XLOC_000060	TAS1R1	chr1:6581279-6639817	hepg2_hr2	hepg2_hr3	OK	1.13738	1.14045	0.00389679	0.00467168	0.9968	0.999565	no
XLOC_000061	XLOC_000061	ZBTB48	chr1:6640062-6649530	hepg2_hr2	hepg2_hr3	OK	3.33722	3.95918	0.246556	0.967305	0.3255	0.999565	no
XLOC_000062	XLOC_000062	PHF13	chr1:6673755-6684093	hepg2_hr2	hepg2_hr3	OK	6.2439	6.89177	0.142427	0.659792	0.50715	0.999565	no
XLOC_000063	XLOC_000063	THAP3	chr1:6684722-6761966	hepg2_hr2	hepg2_hr3	OK	4.87216	4.38835	-0.150882	-0.221645	0.8202	0.999565	no
XLOC_000064	XLOC_000064	CAMTA1	chr1:6845383-7829766	hepg2_hr2	hepg2_hr3	OK	29.2068	29.8033	0.0291692	0.113521	0.90245	0.999565	no
XLOC_000065	XLOC_000065	VAMP3	chr1:7831328-7841492	hepg2_hr2	hepg2_hr3	OK	71.1452	74.5847	0.0681118	0.347414	0.7248	0.999565	no
XLOC_000066	XLOC_000066	PER3	chr1:7844253-7905238	hepg2_hr2	hepg2_hr3	OK	2.69787	2.49556	-0.112456	-0.38941	0.6721	0.999565	no
XLOC_000067	XLOC_000067	PARK7	chr1:8021713-8045342	hepg2_hr2	hepg2_hr3	OK	196.96	192.302	-0.0345314	-0.177952	0.8543	0.999565	no
XLOC_000068	XLOC_000068	-	chr1:8059907-8067217	hepg2_hr2	hepg2_hr3	NOTEST	0.255394	0.305259	0.257309	0	1	1	no
XLOC_000069	XLOC_000069	-	chr1:8137426-8215202	hepg2_hr2	hepg2_hr3	NOTEST	0.170532	0.0798212	-1.0952	0	1	1	no
XLOC_000070	XLOC_000070	-	chr1:8261449-8275225	hepg2_hr2	hepg2_hr3	NOTEST	0.223629	0.0434339	-2.36421	0	1	1	no
XLOC_000071	XLOC_000071	SLC45A1	chr1:8378166-8404227	hepg2_hr2	hepg2_hr3	NOTEST	0.0156715	0	-inf	0	1	1	no
XLOC_000072	XLOC_000072	-	chr1:8938918-8939347	hepg2_hr2	hepg2_hr3	OK	0.821226	0.284468	-1.52951	-1.1395	0.29055	0.999565	no
XLOC_000073	XLOC_000073	CA6	chr1:9005921-9035148	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000074	XLOC_000074	-	chr1:9208085-9247380	hepg2_hr2	hepg2_hr3	OK	0.2591	0.673813	1.37884	1.77062	0.0891	0.999565	no
XLOC_000075	XLOC_000075	H6PD	chr1:9294806-9331607	hepg2_hr2	hepg2_hr3	OK	8.95032	8.6073	-0.0563793	-0.280711	0.76955	0.999565	no
XLOC_000076	XLOC_000076	SPSB1	chr1:9352940-9429590	hepg2_hr2	hepg2_hr3	OK	4.77137	4.52166	-0.0775511	-0.341175	0.7283	0.999565	no
XLOC_000077	XLOC_000077	SLC25A33	chr1:9599499-9645386	hepg2_hr2	hepg2_hr3	OK	73.5095	72.2269	-0.0253946	-0.124136	0.89875	0.999565	no
XLOC_000078	XLOC_000078	TMEM201	chr1:9648848-9675020	hepg2_hr2	hepg2_hr3	OK	5.45664	5.59153	0.0352302	0.160703	0.86835	0.999565	no
XLOC_000079	XLOC_000079	PIK3CD	chr1:9711789-9884550	hepg2_hr2	hepg2_hr3	OK	7.76107	7.00598	-0.147667	-0.386361	0.6977	0.999565	no
XLOC_000080	XLOC_000080	NMNAT1	chr1:9982188-10049755	hepg2_hr2	hepg2_hr3	OK	6.96306	6.68273	-0.0592825	-0.140395	0.8847	0.999565	no
XLOC_000081	XLOC_000081	RBP7	chr1:10057254-10076078	hepg2_hr2	hepg2_hr3	OK	0.186204	0.441497	1.24552	1.01251	0.31255	0.999565	no
XLOC_000082	XLOC_000082	UBE4B	chr1:10093040-10241296	hepg2_hr2	hepg2_hr3	OK	13.003	12.8418	-0.0179905	-0.0898308	0.92745	0.999565	no
XLOC_000083	XLOC_000083	KIF1B	chr1:10270440-10441945	hepg2_hr2	hepg2_hr3	OK	17.0285	16.8402	-0.0160442	-0.0798784	0.9359	0.999565	no
XLOC_000084	XLOC_000084	PGD	chr1:10459084-10480201	hepg2_hr2	hepg2_hr3	OK	100.183	101.021	0.0120178	0.0620969	0.9499	0.999565	no
XLOC_000085	XLOC_000085	APITD1,APITD1-CORT,CORT	chr1:10489915-10513512	hepg2_hr2	hepg2_hr3	OK	10.6686	10.6521	-0.00224193	-0.00965971	0.9908	0.999565	no
XLOC_000086	XLOC_000086	PEX14	chr1:10534929-10691112	hepg2_hr2	hepg2_hr3	OK	9.67349	9.55765	-0.0173808	-0.0791629	0.933	0.999565	no
XLOC_000087	XLOC_000087	TARDBP	chr1:11071779-11107586	hepg2_hr2	hepg2_hr3	OK	63.2631	62.1587	-0.0254098	-0.125884	0.899	0.999565	no
XLOC_000088	XLOC_000088	ANGPTL7	chr1:11166587-11323500	hepg2_hr2	hepg2_hr3	NOTEST	0.0648115	0.0561897	-0.205943	0	1	1	no
XLOC_000089	XLOC_000089	UBIAD1	chr1:11333209-11359833	hepg2_hr2	hepg2_hr3	OK	12.1394	11.7685	-0.0447649	-0.215711	0.8251	0.999565	no
XLOC_000090	XLOC_000090	PTCHD2	chr1:11539294-11597640	hepg2_hr2	hepg2_hr3	NOTEST	0.0139357	0.00825983	-0.754599	0	1	1	no
XLOC_000091	XLOC_000091	FBXO44	chr1:11705686-11723384	hepg2_hr2	hepg2_hr3	OK	8.64857	8.4807	-0.0282796	-0.0517416	0.957	0.999565	no
XLOC_000092	XLOC_000092	FBXO6	chr1:11724149-11734448	hepg2_hr2	hepg2_hr3	OK	5.60168	5.56222	-0.0101991	-0.0413822	0.96395	0.999565	no
XLOC_000093	XLOC_000093	C1orf187	chr1:11751780-11780336	hepg2_hr2	hepg2_hr3	NOTEST	0.179327	0.171763	-0.0621698	0	1	1	no
XLOC_000094	XLOC_000094	AGTRAP	chr1:11795886-11813153	hepg2_hr2	hepg2_hr3	OK	20.3065	20.1331	-0.0123695	-0.0572891	0.952	0.999565	no
XLOC_000095	XLOC_000095	CLCN6	chr1:11845656-11908127	hepg2_hr2	hepg2_hr3	OK	9.75584	10.2207	0.0671614	0.281757	0.7674	0.999565	no
XLOC_000096	XLOC_000096	PLOD1	chr1:11994745-12035594	hepg2_hr2	hepg2_hr3	OK	43.4767	40.3181	-0.108816	-0.558377	0.56875	0.999565	no
XLOC_000097	XLOC_000097	MFN2	chr1:12040206-12073572	hepg2_hr2	hepg2_hr3	OK	27.6206	27.8039	0.00954037	0.0486769	0.9617	0.999565	no
XLOC_000098	XLOC_000098	MIIP	chr1:12079381-12092204	hepg2_hr2	hepg2_hr3	OK	10.9222	10.766	-0.0207846	-0.0958094	0.92435	0.999565	no
XLOC_000099	XLOC_000099	TNFRSF8	chr1:12123433-12204264	hepg2_hr2	hepg2_hr3	NOTEST	0.0175443	0.0163626	-0.100603	0	1	1	no
XLOC_000100	XLOC_000100	TNFRSF1B	chr1:12227059-12269277	hepg2_hr2	hepg2_hr3	NOTEST	0.0347552	0.0822555	1.24288	0	1	1	no
XLOC_000101	XLOC_000101	VPS13D	chr1:12290074-12572098	hepg2_hr2	hepg2_hr3	OK	2.71852	3.05535	0.168519	0.814776	0.4039	0.999565	no
XLOC_000102	XLOC_000102	SNORA59A	chr1:12290074-12572098	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000103	XLOC_000103	-	chr1:12585603-12591120	hepg2_hr2	hepg2_hr3	NOTEST	0.147081	0.112888	-0.381722	0	1	1	no
XLOC_000104	XLOC_000104	-	chr1:12608652-12614367	hepg2_hr2	hepg2_hr3	NOTEST	0.105087	0.138219	0.395373	0	1	1	no
XLOC_000105	XLOC_000105	AADACL4	chr1:12704565-12727097	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000106	XLOC_000106	AADACL3	chr1:12776117-12788726	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000107	XLOC_000107	C1orf158	chr1:12806162-12821102	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000108	XLOC_000108	PRAMEF12	chr1:12834983-12838048	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000109	XLOC_000109	PRAMEF1	chr1:12851545-12856777	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000110	XLOC_000110	PRAMEF2	chr1:12916940-12921764	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000111	XLOC_000111	PRAMEF7,PRAMEF8	chr1:12976449-12980568	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000112	XLOC_000112	PRAMEF22	chr1:13035542-13038381	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000113	XLOC_000113	PRAMEF5	chr1:13359818-13369057	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000114	XLOC_000114	PRAMEF9	chr1:13421175-13428191	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000115	XLOC_000115	PRAMEF16	chr1:13495253-13498259	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000116	XLOC_000116	PRAMEF20,PRAMEF21	chr1:13516065-13526943	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000117	XLOC_000117	PRAMEF9	chr1:13641972-13648988	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000118	XLOC_000118	PRAMEF17	chr1:13716087-13719064	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000119	XLOC_000119	PRAMEF20,PRAMEF21	chr1:13736906-13747803	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000120	XLOC_000120	PDPN	chr1:13910251-13944452	hepg2_hr2	hepg2_hr3	NOTEST	0.196942	0.131747	-0.580001	0	1	1	no
XLOC_000121	XLOC_000121	PRDM2	chr1:14026561-14151574	hepg2_hr2	hepg2_hr3	OK	2.9901	3.12218	0.0623587	0.274991	0.77205	0.999565	no
XLOC_000122	XLOC_000122	KAZ	chr1:14925195-15546974	hepg2_hr2	hepg2_hr3	OK	10.0675	9.87483	-0.0278767	-0.106585	0.9141	0.999565	no
XLOC_000123	XLOC_000123	TMEM51	chr1:14925195-15546974	hepg2_hr2	hepg2_hr3	OK	9.08193	9.91107	0.126042	0.360044	0.71275	0.999565	no
XLOC_000124	XLOC_000124	FHAD1	chr1:15573767-15724622	hepg2_hr2	hepg2_hr3	NOTEST	0.0293579	0.0137384	-1.09554	0	1	1	no
XLOC_000125	XLOC_000125	EFHD2	chr1:15736164-15756839	hepg2_hr2	hepg2_hr3	OK	10.8023	10.5227	-0.03783	-0.178929	0.863	0.999565	no
XLOC_000126	XLOC_000126	CTRC	chr1:15764937-15773153	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000127	XLOC_000127	CELA2A	chr1:15783222-15798586	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000128	XLOC_000128	CELA2B	chr1:15802595-15851285	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000129	XLOC_000129	DNAJC16	chr1:15853213-15911818	hepg2_hr2	hepg2_hr3	OK	9.02363	9.16948	0.0231323	0.04474	0.9646	0.999565	no
XLOC_000130	XLOC_000130	DDI2,RSC1A1	chr1:15943888-15995570	hepg2_hr2	hepg2_hr3	OK	18.9302	17.6597	-0.100231	-0.387874	0.68935	0.999565	no
XLOC_000131	XLOC_000131	PLEKHM2	chr1:16010808-16061306	hepg2_hr2	hepg2_hr3	OK	11.2215	11.2636	0.00540246	0.0265105	0.9792	0.999565	no
XLOC_000132	XLOC_000132	SLC25A34	chr1:16062734-16076163	hepg2_hr2	hepg2_hr3	NOTEST	0.110289	0.274044	1.31311	0	1	1	no
XLOC_000133	XLOC_000133	TMEM82	chr1:16062734-16076163	hepg2_hr2	hepg2_hr3	OK	0.613996	0.766638	0.320315	0.560954	0.5526	0.999565	no
XLOC_000134	XLOC_000134	FBLIM1	chr1:16082301-16113120	hepg2_hr2	hepg2_hr3	OK	8.85757	8.60336	-0.0420111	-0.194497	0.84325	0.999565	no
XLOC_000135	XLOC_000135	SPEN	chr1:16160709-16302627	hepg2_hr2	hepg2_hr3	OK	5.71777	5.84416	0.0315436	0.141505	0.8864	0.999565	no
XLOC_000136	XLOC_000136	C1orf64	chr1:16330570-16337506	hepg2_hr2	hepg2_hr3	OK	11.2468	10.331	-0.122531	-0.463425	0.63625	0.999565	no
XLOC_000137	XLOC_000137	CLCNKA	chr1:16348485-16360545	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000138	XLOC_000138	CLCNKB	chr1:16370246-16383803	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000139	XLOC_000139	-	chr1:16483389-16493271	hepg2_hr2	hepg2_hr3	NOTEST	0.364293	0.243512	-0.581107	0	1	1	no
XLOC_000140	XLOC_000140	C1orf144	chr1:16693582-16763919	hepg2_hr2	hepg2_hr3	OK	30.4192	28.6822	-0.0848238	-0.407309	0.67445	0.999565	no
XLOC_000141	XLOC_000141	NECAP2	chr1:16767166-16786754	hepg2_hr2	hepg2_hr3	OK	16.5249	18.0808	0.129823	0.62798	0.52355	0.999565	no
XLOC_000142	XLOC_000142	MIR3675	chr1:16875408-16875482	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000143	XLOC_000143	NBPF1	chr1:16890411-16941994	hepg2_hr2	hepg2_hr3	OK	0.528457	0.68639	0.377243	0.596824	0.55005	0.999565	no
XLOC_000144	XLOC_000144	-	chr1:16890411-16941994	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000145	XLOC_000145	MST1P2	chr1:16944212-16976917	hepg2_hr2	hepg2_hr3	OK	33.4365	30.414	-0.136687	-0.489748	0.6187	0.999565	no
XLOC_000146	XLOC_000146	MIR3675	chr1:17007619-17046652	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000147	XLOC_000147	CROCC	chr1:17240508-17299809	hepg2_hr2	hepg2_hr3	OK	2.92653	3.08416	0.0756869	0.302911	0.7561	0.999565	no
XLOC_000148	XLOC_000148	-	chr1:17516197-17524759	hepg2_hr2	hepg2_hr3	NOTEST	0.0134578	0	-inf	0	1	1	no
XLOC_000149	XLOC_000149	PADI1	chr1:17531580-17572585	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0164999	inf	0	1	1	no
XLOC_000150	XLOC_000150	PADI3	chr1:17575592-17610728	hepg2_hr2	hepg2_hr3	NOTEST	0.0336751	0.0131462	-1.35704	0	1	1	no
XLOC_000151	XLOC_000151	PADI4	chr1:17634689-17690495	hepg2_hr2	hepg2_hr3	NOTEST	0.014488	0.102803	2.82695	0	1	1	no
XLOC_000152	XLOC_000152	PADI6	chr1:17698740-17728195	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000153	XLOC_000153	ARHGEF10L	chr1:17846707-18024371	hepg2_hr2	hepg2_hr3	OK	13.4477	14.0953	0.0678564	0.331128	0.7298	0.999565	no
XLOC_000154	XLOC_000154	ACTL8	chr1:18081807-18153558	hepg2_hr2	hepg2_hr3	OK	0.74506	0.691883	-0.106829	-0.230145	0.81575	0.999565	no
XLOC_000155	XLOC_000155	IGSF21	chr1:18434239-18704977	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0650416	inf	0	1	1	no
XLOC_000156	XLOC_000156	KLHDC7A	chr1:18807287-18813601	hepg2_hr2	hepg2_hr3	OK	1.63338	1.4794	-0.142848	-0.583776	0.55305	0.999565	no
XLOC_000157	XLOC_000157	PAX7	chr1:18957499-19075360	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000158	XLOC_000158	MRTO4	chr1:19400083-19591163	hepg2_hr2	hepg2_hr3	OK	22.0826	21.2288	-0.0568876	-0.0994452	0.92425	0.999565	no
XLOC_000159	XLOC_000159	PQLC2	chr1:19638739-19661066	hepg2_hr2	hepg2_hr3	OK	13.1135	11.5307	-0.18557	-0.770183	0.43135	0.999565	no
XLOC_000160	XLOC_000160	C1orf151	chr1:19923470-19956314	hepg2_hr2	hepg2_hr3	OK	12.4457	12.7038	0.0296108	0.14488	0.88305	0.999565	no
XLOC_000161	XLOC_000161	NBL1	chr1:19969725-19984955	hepg2_hr2	hepg2_hr3	OK	5.22253	5.24437	0.00602312	0.0254607	0.9791	0.999565	no
XLOC_000162	XLOC_000162	HTR6	chr1:19991501-20007374	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000163	XLOC_000163	OTUD3	chr1:20208868-20239437	hepg2_hr2	hepg2_hr3	OK	3.87993	4.13006	0.0901301	0.408689	0.67395	0.999565	no
XLOC_000164	XLOC_000164	PLA2G5	chr1:20396700-20418394	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0272067	inf	0	1	1	no
XLOC_000165	XLOC_000165	PLA2G2F	chr1:20465822-20476879	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_000166	XLOC_000166	UBXN10	chr1:20512577-20519942	hepg2_hr2	hepg2_hr3	NOTEST	0.0833001	0.0480349	-0.794236	0	1	1	no
XLOC_000167	XLOC_000167	VWA5B1	chr1:20617411-20681387	hepg2_hr2	hepg2_hr3	NOTEST	0	0.00841833	inf	0	1	1	no
