chromosome_name,start,end,gene_id,E066,strand,label,external_gene_name,start_position,end_position,tss,chrom,chromStart,chromEnd,name,score,strand_peak,signalValue,pValue,qValue,peak,startBucket,endBucket
chr1,196616008,196626008,ENSG00000000971,566.609,1,1,CFH,196621008,196716634,196621008,chr1,196624898,196625068,Rank_202294,38,.,3.13502,3.83598,2.319,97,88.9,90.6
chr6,143827827,143837827,ENSG00000001036,43.631,-1,1,FUCA2,143815948,143832827,143832827,chr6,143832680,143833316,Rank_28841,178,.,7.72423,17.86895,15.24337,477,48.53,54.89
chr6,143827827,143837827,ENSG00000001036,43.631,-1,1,FUCA2,143815948,143832827,143832827,chr6,143831592,143832371,Rank_79480,95,.,4.42076,9.50699,7.50514,444,37.65,45.44
chr6,143827827,143837827,ENSG00000001036,43.631,-1,1,FUCA2,143815948,143832827,143832827,chr6,143830947,143831536,Rank_86850,87,.,5.03124,8.79262,6.84223,282,31.2,37.09
chr6,143827827,143837827,ENSG00000001036,43.631,-1,1,FUCA2,143815948,143832827,143832827,chr6,143832441,143832633,Rank_193322,41,.,3.01326,4.17014,2.6199,105,46.14,48.06
chr6,143827827,143837827,ENSG00000001036,43.631,-1,1,FUCA2,143815948,143832827,143832827,chr6,143830672,143830877,Rank_230948,25,.,2.32376,2.5409,1.17157,84,28.45,30.5
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53482895,53484847,Rank_17200,221,.,9.16785,22.13563,19.204,598,61.27,80.79
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53478627,53479564,Rank_35954,160,.,5.52703,16.04748,13.55795,721,18.59,27.96
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53480898,53482662,Rank_42824,145,.,6.47942,14.54928,12.16897,995,41.3,58.94
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53479906,53480608,Rank_57071,120,.,6.27471,12.08528,9.88436,238,31.38,38.4
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53478181,53478494,Rank_105340,75,.,4.685,7.56412,5.7209,168,14.13,17.26
chr6,53476768,53486768,ENSG00000001084,25.767,-1,1,GCLC,53362139,53481768,53481768,chr6,53485576,53485828,Rank_227884,28,.,2.61282,2.87737,1.48146,162,88.08,90.6
chr6,41035684,41045684,ENSG00000001167,6.255,1,1,NFYA,41040684,41067715,41040684,chr6,41038211,41039237,Rank_35611,161,.,6.0283,16.1062,13.60773,802,25.27,35.53
chr6,41035684,41045684,ENSG00000001167,6.255,1,1,NFYA,41040684,41067715,41040684,chr6,41041704,41045366,Rank_5757,311,.,10.77486,31.10712,27.54401,531,60.2,96.82
chr1,24738424,24748424,ENSG00000001460,0.298,-1,-1,STPG1,24683489,24743424,24743424,chr1,24742425,24743716,Rank_16895,222,.,8.16419,22.27479,19.33096,1056,40.01,52.92
chr1,24738424,24748424,ENSG00000001460,0.298,-1,-1,STPG1,24683489,24743424,24743424,chr1,24741675,24742387,Rank_35744,160,.,7.03842,16.08252,13.59218,295,32.51,39.63
chr1,24738424,24748424,ENSG00000001460,0.298,-1,-1,STPG1,24683489,24743424,24743424,chr1,24740368,24740703,Rank_69784,104,.,5.57132,10.44891,8.37455,187,19.44,22.79
chr1,24738424,24748424,ENSG00000001460,0.298,-1,-1,STPG1,24683489,24743424,24743424,chr1,24739380,24740016,Rank_51017,130,.,6.5683,13.0164,10.74645,469,9.56,15.92
chr1,24737284,24747284,ENSG00000001461,1.277,1,-1,NIPAL3,24742284,24799466,24742284,chr1,24742425,24743716,Rank_16895,222,.,8.16419,22.27479,19.33096,1056,51.41,64.32
chr1,24737284,24747284,ENSG00000001461,1.277,1,-1,NIPAL3,24742284,24799466,24742284,chr1,24741675,24742387,Rank_35744,160,.,7.03842,16.08252,13.59218,295,43.91,51.03
chr1,24737284,24747284,ENSG00000001461,1.277,1,-1,NIPAL3,24742284,24799466,24742284,chr1,24740368,24740703,Rank_69784,104,.,5.57132,10.44891,8.37455,187,30.84,34.19
chr1,24737284,24747284,ENSG00000001461,1.277,1,-1,NIPAL3,24742284,24799466,24742284,chr1,24739380,24740016,Rank_51017,130,.,6.5683,13.0164,10.74645,469,20.96,27.32
chrX,64749655,64759655,ENSG00000001497,8.53,-1,1,LAS1L,64732462,64754655,64754655,chrX,64752501,64754015,Rank_10660,260,.,9.44915,26.03431,22.81934,1161,28.46,43.6
chr6,46092730,46102730,ENSG00000001561,5.919,1,1,ENPP4,46097730,46114436,46097730,chr6,46097991,46098765,Rank_44190,143,.,7.05331,14.30872,11.94956,566,52.61,60.35
chr6,46092730,46102730,ENSG00000001561,5.919,1,1,ENPP4,46097730,46114436,46097730,chr6,46096409,46097550,Rank_51192,129,.,5.6993,12.96839,10.6997,673,36.79,48.2
chr6,46092730,46102730,ENSG00000001561,5.919,1,1,ENPP4,46097730,46114436,46097730,chr6,46095711,46096208,Rank_127272,63,.,3.96036,6.30625,4.56049,328,29.81,34.78
chr3,50187478,50197478,ENSG00000001617,1.751,1,-1,SEMA3F,50192478,50226508,50192478,chr3,50192515,50193381,Rank_27067,184,.,7.28205,18.43409,15.76534,671,50.37,59.03
chr3,50187478,50197478,ENSG00000001617,1.751,1,-1,SEMA3F,50192478,50226508,50192478,chr3,50191836,50192243,Rank_43127,144,.,6.88139,14.44113,12.06528,167,43.58,47.65
chr3,50187478,50197478,ENSG00000001617,1.751,1,-1,SEMA3F,50192478,50226508,50192478,chr3,50188552,50189125,Rank_80437,93,.,5.35428,9.35493,7.36234,421,10.74,16.47
chr3,50187478,50197478,ENSG00000001617,1.751,1,-1,SEMA3F,50192478,50226508,50192478,chr3,50193442,50193701,Rank_127673,62,.,4.08788,6.26825,4.52582,153,59.64,62.23
chr3,50187478,50197478,ENSG00000001617,1.751,1,-1,SEMA3F,50192478,50226508,50192478,chr3,50195953,50196123,Rank_223825,30,.,2.41132,3.06,1.63092,75,84.75,86.45
chr7,91870548,91880548,ENSG00000001629,4.787,1,1,ANKIB1,91875548,92030698,91875548,chr7,91873353,91874730,Rank_1517,411,.,14.21359,41.1762,36.89797,892,28.05,41.82
chr7,91870548,91880548,ENSG00000001629,4.787,1,1,ANKIB1,91875548,92030698,91875548,chr7,91875785,91877702,Rank_16191,226,.,7.43491,22.63623,19.66076,385,52.37,71.54
chr7,91870548,91880548,ENSG00000001629,4.787,1,1,ANKIB1,91875548,92030698,91875548,chr7,91879934,91880115,Rank_222391,31,.,2.67377,3.10728,1.67229,117,93.86,95.67
chr7,91870480,91880480,ENSG00000001631,6.381,-1,1,KRIT1,91828283,91875480,91875480,chr7,91873353,91874730,Rank_1517,411,.,14.21359,41.1762,36.89797,892,28.73,42.5
chr7,91870480,91880480,ENSG00000001631,6.381,-1,1,KRIT1,91828283,91875480,91875480,chr7,91875785,91877702,Rank_16191,226,.,7.43491,22.63623,19.66076,385,53.05,72.22
chr7,91870480,91880480,ENSG00000001631,6.381,-1,1,KRIT1,91828283,91875480,91875480,chr7,91879934,91880115,Rank_222391,31,.,2.67377,3.10728,1.67229,117,94.54,96.35
chr12,1094219,1104219,ENSG00000002016,1.698,-1,-1,RAD52,1021243,1099219,1099219,chr12,1097900,1099452,Rank_9249,271,.,9.71913,27.15954,23.86444,1042,36.81,52.33
chr12,1094219,1104219,ENSG00000002016,1.698,-1,-1,RAD52,1021243,1099219,1099219,chr12,1100932,1102199,Rank_78541,95,.,4.90571,9.55757,7.55283,733,67.13,79.8
chr12,1094219,1104219,ENSG00000002016,1.698,-1,-1,RAD52,1021243,1099219,1099219,chr12,1102416,1102825,Rank_93604,83,.,4.95372,8.33281,6.42819,160,81.97,86.06
chr12,1094219,1104219,ENSG00000002016,1.698,-1,-1,RAD52,1021243,1099219,1099219,chr12,1103301,1103707,Rank_105582,75,.,4.67566,7.54831,5.70844,287,90.82,94.88
chr11,64047176,64057176,ENSG00000002330,15.838,-1,1,BAD,64037302,64052176,64052176,chr11,64053490,64055054,Rank_3184,356,.,11.13299,35.62686,31.7368,457,63.14,78.78
chr11,64047176,64057176,ENSG00000002330,15.838,-1,1,BAD,64037302,64052176,64052176,chr11,64050421,64051974,Rank_12536,246,.,8.78869,24.66224,21.54298,557,32.45,47.98
chr11,64047176,64057176,ENSG00000002330,15.838,-1,1,BAD,64037302,64052176,64052176,chr11,64052325,64052649,Rank_197880,40,.,3.17831,4.08264,2.55228,245,51.49,54.73
chr4,17573815,17583815,ENSG00000002549,106.39,1,1,LAP3,17578815,17609595,17578815,chr4,17577675,17578635,Rank_102748,77,.,4.26879,7.7009,5.84124,317,38.6,48.2
chr4,17573815,17583815,ENSG00000002549,106.39,1,1,LAP3,17578815,17609595,17578815,chr4,17579654,17579858,Rank_133721,61,.,4.02373,6.15866,4.43337,61,58.39,60.43
chr4,17573815,17583815,ENSG00000002549,106.39,1,1,LAP3,17578815,17609595,17578815,chr4,17581868,17583180,Rank_58533,118,.,5.02359,11.85846,9.67079,317,80.53,93.65
chr4,17573815,17583815,ENSG00000002549,106.39,1,1,LAP3,17578815,17609595,17578815,chr4,17583247,17584045,Rank_90980,84,.,4.5199,8.48598,6.55995,621,94.32,102.3
chr4,17573815,17583815,ENSG00000002549,106.39,1,1,LAP3,17578815,17609595,17578815,chr4,17579906,17581766,Rank_4987,323,.,11.70048,32.30268,28.65635,1393,60.91,79.51
chrX,2604220,2614220,ENSG00000002586,76.013,1,1,CD99,2609220,2659350,2609220,chrX,2609698,2611340,Rank_30613,174,.,7.03095,17.44462,14.84724,1151,54.78,71.2
chrX,2604220,2614220,ENSG00000002586,76.013,1,1,CD99,2609220,2659350,2609220,chrX,2608380,2608578,Rank_94007,83,.,4.95372,8.33281,6.42819,121,41.6,43.58
chrX,2604220,2614220,ENSG00000002586,76.013,1,1,CD99,2609220,2659350,2609220,chrX,2611647,2611868,Rank_142989,58,.,3.96298,5.80356,4.11155,116,74.27,76.48
chrX,2604220,2614220,ENSG00000002586,76.013,1,1,CD99,2609220,2659350,2609220,chrX,2609316,2609486,Rank_154356,53,.,3.83169,5.34882,3.68774,47,50.96,52.66
chrX,2604220,2614220,ENSG00000002586,76.013,1,1,CD99,2609220,2659350,2609220,chrX,2612730,2613240,Rank_159461,51,.,3.73701,5.19517,3.55599,379,85.1,90.2
chr4,11426389,11436389,ENSG00000002587,0.161,-1,-1,HS3ST1,11394774,11431389,11431389,chr4,11429850,11431267,Rank_36547,158,.,7.66339,15.84197,13.36263,1198,34.61,48.78
chr4,11426389,11436389,ENSG00000002587,0.161,-1,-1,HS3ST1,11394774,11431389,11431389,chr4,11429500,11429674,Rank_153437,53,.,3.83169,5.34882,3.68774,70,31.11,32.85
chr7,150516715,150526715,ENSG00000002726,8.353,1,1,AOC1,150521715,150558592,150521715,chr7,150517153,150517336,Rank_211467,35,.,2.61227,3.58669,2.0975,141,4.38,6.21
chr7,150516715,150526715,ENSG00000002726,8.353,1,1,AOC1,150521715,150558592,150521715,chr7,150521232,150524765,Rank_4919,324,.,10.54642,32.48003,28.81685,1819,45.17,80.5
chr7,150516715,150526715,ENSG00000002726,8.353,1,1,AOC1,150521715,150558592,150521715,chr7,150526194,150526711,Rank_59919,117,.,5.66949,11.75383,9.58379,146,94.79,99.96
chr7,150516715,150526715,ENSG00000002726,8.353,1,1,AOC1,150521715,150558592,150521715,chr7,150520802,150521137,Rank_87929,87,.,4.21981,8.76005,6.81517,108,40.87,44.22
chr7,120960421,120970421,ENSG00000002745,0.0,1,-1,WNT16,120965421,120981158,120965421,chr7,120969385,120970976,Rank_4737,326,.,12.21918,32.63398,28.95858,608,89.64,105.55
chr7,120960421,120970421,ENSG00000002745,0.0,1,-1,WNT16,120965421,120981158,120965421,chr7,120969048,120969294,Rank_142865,58,.,3.96298,5.80356,4.11155,107,86.27,88.73
chr7,120960421,120970421,ENSG00000002745,0.0,1,-1,WNT16,120965421,120981158,120965421,chr7,120967960,120968189,Rank_143249,57,.,3.94098,5.767,4.07765,117,75.39,77.68
chr7,120960421,120970421,ENSG00000002745,0.0,1,-1,WNT16,120965421,120981158,120965421,chr7,120968657,120968919,Rank_214796,35,.,2.76216,3.55539,2.07439,150,82.36,84.98
chr7,43147198,43157198,ENSG00000002746,0.015,1,-1,HECW1,43152198,43605600,43152198,chr7,43152903,43153612,Rank_84085,91,.,4.01966,9.14222,7.17495,564,57.05,64.14
chr7,43147198,43157198,ENSG00000002746,0.015,1,-1,HECW1,43152198,43605600,43152198,chr7,43152206,43152476,Rank_105636,75,.,4.67566,7.54831,5.70844,155,50.08,52.78
chr7,43147198,43157198,ENSG00000002746,0.015,1,-1,HECW1,43152198,43605600,43152198,chr7,43153785,43154333,Rank_125855,64,.,4.17667,6.41914,4.66912,472,65.87,71.35
chr7,43147198,43157198,ENSG00000002746,0.015,1,-1,HECW1,43152198,43605600,43152198,chr7,43152643,43152860,Rank_217847,33,.,2.83007,3.35622,1.8951,193,54.45,56.62
chr7,2267878,2277878,ENSG00000002822,3.423,-1,1,MAD1L1,1855429,2272878,2272878,chr7,2270827,2272055,Rank_11520,254,.,10.37392,25.49803,22.32748,752,29.49,41.77
chr7,2267878,2277878,ENSG00000002822,3.423,-1,1,MAD1L1,1855429,2272878,2272878,chr7,2272720,2273412,Rank_27157,184,.,7.28205,18.43409,15.76534,290,48.42,55.34
chr7,2267878,2277878,ENSG00000002822,3.423,-1,1,MAD1L1,1855429,2272878,2272878,chr7,2269692,2270759,Rank_69240,105,.,5.63023,10.55445,8.47264,915,18.14,28.81
chr17,37021112,37031112,ENSG00000002834,41.127,1,1,LASP1,37026112,37078023,37026112,chr17,37024394,37025140,Rank_90491,84,.,4.5199,8.48598,6.55995,656,32.82,40.28
chr17,37021112,37031112,ENSG00000002834,41.127,1,1,LASP1,37026112,37078023,37026112,chr17,37025272,37025451,Rank_182080,44,.,3.19596,4.4944,2.91872,75,41.6,43.39
chr17,37021112,37031112,ENSG00000002834,41.127,1,1,LASP1,37026112,37078023,37026112,chr17,37024048,37024269,Rank_208283,36,.,2.91237,3.64819,2.15267,95,29.36,31.57
chr17,37021112,37031112,ENSG00000002834,41.127,1,1,LASP1,37026112,37078023,37026112,chr17,37029840,37032048,Rank_9486,268,.,7.53686,26.8484,23.57043,367,87.28,109.36
chr17,37021112,37031112,ENSG00000002834,41.127,1,1,LASP1,37026112,37078023,37026112,chr17,37027426,37029801,Rank_2155,384,.,10.44906,38.42562,34.332,1498,63.14,86.89
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46177524,46178247,Rank_31636,170,.,6.22925,17.00002,14.43308,348,18.05,25.28
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46184171,46184626,Rank_115883,69,.,4.01768,6.94008,5.14475,290,84.52,89.07
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46183958,46184128,Rank_181216,45,.,3.47714,4.56254,2.98446,150,82.39,84.09
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46178878,46179614,Rank_190144,41,.,2.67977,4.19026,2.63728,270,31.59,38.95
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46178412,46178582,Rank_202816,38,.,3.13502,3.83598,2.319,43,26.93,28.63
chr17,46175719,46185719,ENSG00000002919,10.405,1,1,SNX11,46180719,46200436,46180719,chr17,46185326,46186562,Rank_5839,308,.,11.6293,30.88806,27.3357,738,96.07,108.43
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150499220,150501033,Rank_16763,224,.,8.76936,22.45673,19.50554,677,67.29,85.42
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150492098,150493176,Rank_67126,108,.,5.19539,10.81886,8.72047,127,-3.93,6.85
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150493376,150493782,Rank_76025,97,.,5.19116,9.75757,7.73509,166,8.85,12.91
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150501080,150502043,Rank_78477,95,.,5.09189,9.57389,7.56657,242,85.89,95.52
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150494721,150495309,Rank_116821,69,.,4.01768,6.94008,5.14475,207,22.3,28.18
chr7,150492491,150502491,ENSG00000002933,611.87,1,1,TMEM176A,150497491,150502208,150497491,chr7,150494275,150494599,Rank_190558,41,.,2.67977,4.19026,2.63728,185,17.84,21.08
chr12,9097551,9107551,ENSG00000003056,31.898,-1,1,M6PR,9092959,9102551,9102551,chr12,9099197,9101829,Rank_14789,234,.,9.30307,23.49419,20.47084,2269,16.46,42.78
chr12,9097551,9107551,ENSG00000003056,31.898,-1,1,M6PR,9092959,9102551,9102551,chr12,9103002,9103706,Rank_39961,151,.,6.78918,15.15182,12.72957,539,54.51,61.55
chrX,117246303,117256303,ENSG00000003096,1.85,-1,-1,KLHL13,117031776,117251303,117251303,chrX,117249897,117250156,Rank_114544,70,.,4.52837,7.00879,5.20608,92,35.94,38.53
chrX,117246303,117256303,ENSG00000003096,1.85,-1,-1,KLHL13,117031776,117251303,117251303,chrX,117249562,117249780,Rank_139474,58,.,4.01571,5.89102,4.18566,84,32.59,34.77
chrX,117246303,117256303,ENSG00000003096,1.85,-1,-1,KLHL13,117031776,117251303,117251303,chrX,117250334,117250625,Rank_154198,53,.,3.83169,5.34882,3.68774,165,40.31,43.22
chrX,117246303,117256303,ENSG00000003096,1.85,-1,-1,KLHL13,117031776,117251303,117251303,chrX,117251310,117251489,Rank_162592,51,.,3.68107,5.10401,3.47041,48,50.07,51.86
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72371732,72372808,Rank_9041,275,.,11.14675,27.50252,24.19216,617,15.65,26.41
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72376257,72377624,Rank_10891,257,.,6.99399,25.77327,22.57394,1229,60.9,74.57
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72375145,72375680,Rank_13418,242,.,9.6965,24.24145,21.16004,193,49.78,55.13
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72370586,72371603,Rank_23108,196,.,8.70071,19.67567,16.91646,301,4.19,14.36
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72372952,72374966,Rank_37889,155,.,6.52874,15.51157,13.05226,1453,27.85,47.99
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72375860,72376095,Rank_86838,87,.,5.03124,8.79262,6.84223,111,56.93,59.28
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72377722,72377894,Rank_125420,64,.,3.01549,6.45458,4.7027,117,75.55,77.27
chr2,72370167,72380167,ENSG00000003137,0.193,-1,-1,CYP26B1,72356367,72375167,72375167,chr2,72369974,72370445,Rank_156502,53,.,2.87159,5.32246,3.6736,264,-1.93,2.78
chr7,8297317,8307317,ENSG00000003147,3.823,-1,1,ICA1,8152814,8302317,8302317,chr7,8300572,8301254,Rank_116872,69,.,4.01768,6.94008,5.14475,396,32.55,39.37
chr7,8297317,8307317,ENSG00000003147,3.823,-1,1,ICA1,8152814,8302317,8302317,chr7,8301910,8302346,Rank_175148,47,.,3.01415,4.72942,3.12989,411,45.93,50.29
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90088607,90089029,Rank_32143,169,.,8.01172,16.93326,14.37517,235,70.71,74.93
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90089434,90090124,Rank_49132,134,.,4.39758,13.45486,11.16058,230,78.98,85.88
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90086364,90086615,Rank_95681,81,.,4.84554,8.1465,6.25404,180,48.28,50.79
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90086735,90086979,Rank_97307,80,.,4.27448,8.00171,6.11925,88,51.99,54.43
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90083005,90083291,Rank_115841,69,.,4.01768,6.94008,5.14475,91,14.69,17.55
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90086020,90086269,Rank_144480,56,.,3.87643,5.65943,3.97444,100,44.84,47.33
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90087407,90087770,Rank_158363,52,.,3.50968,5.26082,3.61778,222,58.71,62.34
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90088288,90088499,Rank_202763,38,.,3.13502,3.83598,2.319,95,67.52,69.63
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90085428,90085736,Rank_217132,34,.,2.89154,3.45352,1.98953,145,38.92,42.0
chr16,90081536,90091536,ENSG00000003249,0.918,-1,-1,DBNDD1,90071273,90086536,90086536,chr16,90085188,90085382,Rank_217446,34,.,2.86048,3.40439,1.9418,58,36.52,38.46
chr2,202640912,202650912,ENSG00000003393,5.233,-1,1,ALS2,202565277,202645912,202645912,chr2,202641726,202645137,Rank_35041,161,.,5.16886,16.16366,13.66019,1183,8.14,42.25
chr2,202640912,202650912,ENSG00000003393,5.233,-1,1,ALS2,202565277,202645912,202645912,chr2,202646149,202646905,Rank_42346,145,.,6.27763,14.56911,12.17876,236,52.37,59.93
chr2,202640912,202650912,ENSG00000003393,5.233,-1,1,ALS2,202565277,202645912,202645912,chr2,202640690,202641573,Rank_79270,95,.,4.42076,9.50699,7.50514,284,-2.22,6.61
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202044836,202045045,Rank_229440,26,.,2.46326,2.64719,1.26797,97,22.32,24.41
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202048622,202049337,Rank_52972,127,.,6.17677,12.71689,10.47201,404,60.18,67.33
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202049796,202050485,Rank_108756,73,.,3.81793,7.32645,5.49932,129,71.92,78.81
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202050946,202051160,Rank_183603,44,.,3.26794,4.42098,2.84882,154,83.42,85.56
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202049379,202049556,Rank_201207,38,.,3.06313,3.89543,2.37512,38,67.75,69.52
chr2,202042604,202052604,ENSG00000003400,2.576,1,1,CASP10,202047604,202094129,202047604,chr2,202047420,202047698,Rank_231216,24,.,2.01011,2.46229,1.11052,110,48.16,50.94
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201979102,201979981,Rank_52586,127,.,5.77542,12.73545,10.48098,585,32.75,41.54
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201980143,201980382,Rank_165507,49,.,3.59263,4.9593,3.33722,167,43.16,45.55
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201984778,201990874,Rank_42858,145,.,4.35606,14.5471,12.16897,4050,89.51,150.47
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201983762,201984591,Rank_53940,126,.,5.22453,12.67677,10.43723,259,79.35,87.64
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201982871,201983051,Rank_137801,59,.,3.90129,5.94808,4.24129,153,70.44,72.24
chr2,201975827,201985827,ENSG00000003402,6.755,1,1,CFLAR,201980827,202041410,201980827,chr2,201983386,201983581,Rank_151034,54,.,3.4636,5.40045,3.73609,83,75.59,77.54
chr2,188425487,188435487,ENSG00000003436,43.483,-1,1,TFPI,188328957,188430487,188430487,chr2,188431864,188432034,Rank_203189,38,.,3.13502,3.83598,2.319,16,63.77,65.47
