,y,scores
265,1,-4.1347265
266,1,-2.54357
267,1,-4.3279405
268,1,-4.232309
269,0,-6.970554
270,1,-4.9825983
271,1,-6.4146824
272,1,-6.4146824
273,1,-6.970554
274,1,-5.45486
275,1,-2.555583
276,1,-1.9109377
277,1,-4.320272
278,0,-6.7054825
279,1,-6.970554
280,0,-6.970554
281,1,-1.5834138
282,1,-4.0512013
283,0,-6.970554
284,1,-4.5960426
285,1,-6.7054825
286,1,-4.1762037
287,1,-5.1163716
288,1,-5.1163716
289,1,-4.0375023
290,1,-3.2478762
291,0,-3.2478762
292,0,-3.2478762
293,0,-6.970554
294,1,-5.38354
295,1,-7.112543
296,0,-7.112543
297,0,-6.970554
298,0,-6.7054825
299,1,-3.287451
300,0,-3.287451
301,0,-6.7054825
302,0,-6.7054825
303,1,-3.0671678
304,1,-0.9718096
305,1,-5.3082404
306,1,-5.962564
307,1,-0.96209115
308,0,-6.6814594
309,0,-6.970554
310,0,-6.970554
311,0,-6.970554
312,0,-6.970554
313,0,-6.970554
314,1,-3.3227139
315,1,-3.6026883
316,0,-3.6026883
317,1,-6.970554
318,1,-2.0683763
319,1,-5.9895935
320,1,-2.1345181
321,1,-6.166269
322,1,-6.0129585
323,1,-5.57619
324,1,-6.058949
325,0,-6.058949
326,0,-6.970554
327,1,-5.434054
328,1,-5.023802
329,0,-5.554495
330,1,-3.5545244
331,1,-4.6218696
332,0,-4.6218696
333,0,-4.6218696
334,0,-4.6218696
335,0,-4.6218696
336,1,-5.8922677
337,1,-5.8922677
338,1,1.6370928
339,0,-6.970554
340,0,-6.970554
341,1,-5.1977015
342,1,-2.8888094
343,1,-5.207912
344,1,-5.2477474
345,1,-1.5146658
346,1,-6.970554
347,0,-6.970554
348,1,-6.970554
349,0,-6.970554
350,0,-6.970554
351,1,-2.2424774
352,1,-2.2424774
353,1,-3.4398398
354,0,-6.970554
355,0,-6.970554
356,0,-6.970554
357,0,-6.970554
358,0,-6.970554
359,0,-6.970554
360,1,-4.00708
361,0,-6.970554
362,0,-6.970554
363,1,-2.9453592
364,0,-6.970554
365,1,-6.3393154
366,0,-6.970554
367,1,-5.4381375
368,0,-6.8476286
369,1,-6.970554
370,1,-3.4761026
371,1,-5.048605
372,1,-0.8484253
373,1,-5.9618134
374,0,-6.3727283
375,1,-3.946807
376,0,-6.970554
377,1,-5.947048
378,0,-6.822328
379,1,-5.027088
380,0,-5.0437512
381,0,-6.970554
382,1,-6.3727283
383,1,-3.8573616
384,1,-4.2955074
385,1,-6.970554
386,1,-2.9552958
387,1,-6.970554
388,0,-6.970554
389,0,-6.970554
390,0,-6.970554
391,1,-3.6878748
392,1,-2.4603524
393,1,-4.5007424
394,0,-6.970554
395,1,-4.3511353
396,1,-2.4451115
397,1,-6.970554
398,1,-3.905614
399,0,-6.970554
400,1,-2.2286012
401,1,-3.7510862
402,1,-4.5720644
403,0,-6.970554
404,1,-4.8588834
405,1,-4.8588834
406,1,-4.8588834
407,1,-3.9087284
408,0,-6.055549
409,0,-6.970554
410,0,-6.970554
411,1,-5.146191
412,1,-6.9211845
413,1,-6.970554
414,1,-2.9889638
415,0,-6.970554
416,0,-6.970554
417,0,-6.970554
418,0,-6.970554
419,1,-2.6696863
420,0,-6.970554
421,1,-6.970554
422,1,-6.427661
423,0,-6.970554
424,0,-6.970554
425,0,-6.970554
426,1,-6.970554
427,1,-5.0151167
428,1,-1.8338186
429,0,-6.970554
430,1,-4.3732724
431,1,-5.278628
432,1,-4.492019
433,0,-6.970554
434,1,-2.673518
435,1,-2.673518
436,0,-6.65626
437,0,-6.970554
438,0,-6.970554
439,1,-5.36039
440,0,-4.794864
441,1,-4.794864
442,1,-4.0915785
443,0,-6.970554
444,0,-6.970554
445,0,-6.970554
446,1,-6.970554
447,1,-4.284948
448,0,-5.578006
449,0,-6.970554
450,1,-3.3145194
451,0,-3.3145194
452,0,-3.3145194
453,0,-6.970554
454,1,-4.307539
455,0,-6.970554
456,0,-6.970554
457,0,-6.970554
458,1,-3.2273662
459,1,-1.5609056
460,0,-1.5609056
461,1,-4.1549745
462,1,-2.5704978
463,0,-6.970554
464,0,-6.970554
465,1,-4.699368
466,0,-5.8317523
467,1,-6.356241
468,1,-5.864713
469,1,-5.87241
470,0,-6.970554
471,0,-6.970554
472,0,-5.414656
473,0,-6.9367414
474,1,-6.9367414
475,1,-4.0070753
476,0,-4.0070753
477,0,-4.0070753
478,1,-0.6748729
479,1,-4.010973
480,1,-4.010973
481,1,-1.9718246
482,1,-0.9697282
483,0,-0.9697282
484,0,-0.9697282
485,1,-3.5523837
486,1,-2.29356
487,1,-3.1815505
488,1,-2.025485
489,1,-5.663178
490,0,-6.970554
491,0,-6.970554
492,1,-3.3282385
493,1,-6.0105147
494,1,-3.837703
495,1,-0.7991962
496,1,-2.5923226
497,0,-2.5923226
498,1,-6.970554
499,0,-6.970554
500,0,-6.970554
501,1,-2.8206878
502,1,-2.4923825
503,0,-6.8476286
504,0,-6.970554
505,1,-4.798499
506,0,-4.798499
507,0,-4.798499
508,0,-4.798499
509,1,-3.0731592
510,0,-6.970554
511,0,-6.970554
512,0,-6.6393623
513,1,-4.458812
514,0,-6.970554
515,1,-4.7893786
516,0,-6.153805
517,1,-6.153805
518,1,-6.306528
519,0,-6.970554
520,1,-4.466691
521,1,-6.822328
522,0,-6.884992
523,0,-5.688695
524,1,-6.10935
525,0,-6.970554
526,1,-6.970554
527,1,-6.970554
528,1,-6.439791
529,1,-6.625408
530,0,-6.625408
531,0,-6.970554
532,0,-6.970554
533,1,-5.160829
534,1,-4.7317667
535,1,-6.7054825
536,0,-6.7054825
537,0,-6.970554
538,0,-6.970554
539,0,-6.8366814
540,1,-3.9870296
541,0,-5.5147185
542,0,-6.970554
543,0,-6.970554
544,1,-5.436235
545,0,-6.970554
546,0,-6.970554
547,0,-6.6743116
548,0,-4.814781
549,1,-4.814781
550,0,-6.970554
551,0,-6.970554
552,1,-6.970554
553,1,-5.9972363
554,1,-3.2889154
555,0,-6.970554
556,1,-6.5148835
557,1,-6.92961
558,0,-6.970554
559,0,-3.5312467
560,1,-3.5312467
561,1,-2.593915
562,1,-3.1269138
563,1,-3.9605503
564,1,1.4091704
565,1,-6.080638
566,0,-6.970554
567,0,-6.970554
568,1,-4.0496244
569,1,-3.8213425
570,1,-3.814952
571,1,-6.1977844
572,1,-5.6400223
573,0,-6.970554
574,1,-2.850046
575,0,-6.970554
576,1,-4.2263975
577,0,-4.2263975
578,1,-3.0953546
579,0,-4.823355
580,1,-1.7072982
581,1,-3.8498342
582,0,-6.970554
583,0,-6.970554
584,0,-6.970554
585,0,-4.711967
586,0,-4.711967
587,1,-6.970554
588,1,-6.970554
589,0,-6.3727283
590,0,-6.970554
591,1,-4.0349236
592,0,-4.4282537
593,0,-6.970554
594,1,-2.1525097
595,0,-6.8282247
596,1,-4.9421964
597,1,-5.443674
598,0,-6.7054825
599,1,-5.8860693
600,1,-5.8860693
601,1,-0.21962908
602,0,-6.970554
603,1,-1.4483417
604,1,-4.5381727
605,1,-6.970554
606,0,-6.970554
607,0,-6.3711877
608,1,-2.160364
609,0,-6.970554
610,0,-6.970554
611,0,-6.970554
612,0,-6.970554
613,0,-6.970554
614,0,-6.970554
615,1,-6.970554
616,0,-6.970554
617,0,-6.970554
618,0,-6.779955
619,0,-6.970554
620,1,-4.097193
621,1,-4.6630006
622,1,-6.2208304
623,1,-5.372842
624,0,-4.4914007
625,0,-4.4914007
626,0,-4.4914007
627,1,-1.9132501
628,1,-4.362014
629,1,-6.3130355
630,1,-4.0434313
631,1,-2.51243
632,0,-2.51243
633,1,-4.689609
634,1,-6.5047607
635,1,-5.4413757
636,1,-6.970554
637,0,-6.35668
638,0,-6.35668
639,0,-5.829076
640,0,-6.970554
641,1,-6.970554
642,0,-6.970554
643,1,-2.884914
644,1,-2.3892565
645,1,-5.7510166
646,1,-6.970554
647,1,-1.2053549
648,0,-7.068046
649,1,-4.479527
650,0,-4.479527
651,1,-5.075486
652,0,-6.970554
653,1,-5.7652597
654,1,-4.7389026
655,0,-4.481975
656,0,-6.970554
657,0,-6.970554
658,0,-6.970554
659,0,-6.970554
660,0,-6.970554
661,0,-6.970554
662,0,-6.970554
663,0,-6.970554
664,0,-6.970554
665,0,-6.970554
666,0,-6.970554
667,0,-6.970554
668,0,-6.970554
669,0,-6.970554
670,0,-6.970554
671,0,-6.970554
672,0,-6.970554
673,0,-6.970554
674,0,-6.970554
675,0,-6.970554
676,0,-6.970554
677,0,-6.970554
678,0,-6.970554
679,0,-6.970554
680,0,-6.970554
681,0,-6.970554
682,0,-6.970554
683,0,-6.970554
684,0,-6.970554
685,0,-6.970554
686,1,-6.970554
687,0,-6.970554
688,0,-5.70943
689,1,-4.768178
690,1,-4.768178
691,1,-4.0176973
692,0,-7.024411
693,1,-3.566746
694,1,-6.3727283
695,1,-4.991217
696,1,-3.6386414
697,1,-4.2995343
698,0,-6.970554
699,1,-4.072022
700,1,-5.3995905
701,0,-6.970554
702,0,-6.970554
703,1,-6.970554
704,0,-6.970554
705,1,-5.6512566
706,1,-4.1647606
707,0,-6.970554
708,1,-3.4928095
709,1,-6.009985
710,1,-6.009985
711,1,-0.35665897
712,0,-4.748759
713,1,-5.886685
714,1,-5.986094
715,1,-1.5703285
716,1,-1.5703285
717,0,-5.3772163
718,1,-5.3772163
719,1,-5.8772755
720,1,-5.8772755
721,0,-5.8772755
722,0,-5.599905
723,0,-4.5620494
724,1,-1.747992
725,0,-6.970554
726,1,-3.6086528
727,0,-6.779955
728,1,-5.842768
729,1,-5.842768
730,0,-4.7006903
731,1,-4.7006903
732,0,-6.970554
733,1,-5.7024007
734,0,-6.970554
735,1,-6.970554
736,1,-6.040435
737,1,-6.1196113
738,0,-6.970554
739,0,-6.970554
740,0,-6.970554
741,0,-6.1499147
742,0,-6.1499147
743,0,-6.970554
744,0,-6.970554
745,0,-6.970554
746,0,-6.970554
747,0,-6.970554
748,0,-6.970554
749,0,-6.970554
750,0,-6.970554
751,0,-6.970554
752,0,-6.970554
753,0,-6.970554
754,0,-6.970554
755,0,-6.970554
756,0,-6.970554
757,0,-6.970554
758,1,-6.970554
759,0,-6.970554
760,0,-6.970554
761,0,-6.970554
762,0,-6.970554
763,0,-6.970554
764,0,-6.970554
765,0,-6.970554
766,0,-6.970554
767,0,-6.970554
768,1,-5.7720795
769,0,-4.282796
770,1,-4.282796
771,0,-6.970554
772,0,-6.822328
773,0,-6.970554
774,0,-6.970554
775,1,-4.77871
776,1,-4.28386
777,1,-4.28386
778,1,-7.093296
779,1,-5.030849
780,1,-6.970554
781,1,-6.970554
782,1,-2.971928
783,0,-6.970554
784,1,-2.8660004
785,0,-6.970554
786,0,-6.822328
787,0,-6.970554
788,0,-6.970554
789,0,-6.970554
790,0,-6.970554
791,0,-6.970554
792,1,-4.4401894
793,1,-5.4059167
794,1,-5.0947275
795,0,-5.0947275
796,1,-5.3386636
797,1,-3.0429397
798,0,-6.970554
799,1,-5.9519324
800,0,-6.970554
801,1,-3.0665076
802,0,-6.970554
803,0,-6.970554
804,1,-5.328626
805,0,-5.975053
806,0,-4.799235
807,1,-4.799235
808,1,-0.60671556
809,0,-6.970554
810,0,-6.970554
811,1,-3.5894353
812,0,-6.970554
813,1,-5.9227853
814,1,-6.531152
815,1,-4.707174
816,1,-4.823352
817,1,-6.970554
818,1,-6.4147215
819,1,-5.4311523
820,1,-6.970554
821,0,-6.970554
822,0,-6.970554
823,1,-5.1163254
824,0,-6.970554
825,0,-6.970554
826,0,-6.970554
827,0,-6.970554
828,0,-6.970554
829,0,-6.970554
830,0,-6.970554
831,1,-3.8246999
832,1,-1.0580271
833,0,-6.970554
834,0,-6.970554
835,0,-6.970554
836,1,-4.6606135
837,0,-6.970554
838,1,0.3431341
839,0,-6.970554
840,0,-6.970554
841,1,-4.893173
842,1,-3.7468493
843,1,-3.682853
844,0,-3.682853
845,1,-5.183101
846,0,-6.970554
847,0,-6.970554
848,0,-6.970554
849,1,-3.7687957
850,0,-6.970554
851,0,-6.970554
852,1,-4.5013657
853,1,-4.8610244
854,1,-5.333444
855,1,-5.631318
856,0,-4.36653
857,0,-6.970554
858,0,-6.970554
859,1,-5.9863935
860,1,-4.178701
861,1,-4.3443418
862,0,-7.192238
863,1,-4.171813
864,0,-6.970554
865,1,-5.0361547
866,1,-5.909774
867,0,-6.970554
868,0,-6.970554
869,0,-6.2048087
870,1,-4.3409376
871,1,-5.253271
872,0,-6.970554
873,1,-6.1943088
874,1,-4.944545
875,1,-3.2913203
876,0,-6.7054825
877,1,-4.9767895
878,1,-0.6791918
879,0,-6.970554
880,0,-6.970554
881,1,-6.970554
882,1,-6.970554
883,0,-6.970554
884,0,-6.970554
885,0,-6.970554
886,0,-6.970554
887,0,-6.970554
888,0,-6.8904796
889,1,-4.4300404
890,1,-4.4657593
891,0,-4.4657593
892,1,-6.970554
893,0,-6.970554
894,1,-6.970554
895,0,-6.970554
896,1,-6.970554
897,0,-6.970554
898,0,-3.137158
899,1,-3.9973037
900,0,-6.970554
901,1,0.15190387
902,0,-6.970554
903,0,-6.92961
904,1,-3.4656873
905,0,-6.970554
906,1,-5.6805267
907,0,-6.970554
908,0,-6.970554
909,0,-6.970554
910,0,-6.970554
911,0,-6.970554
912,1,-3.3316417
913,1,-1.9955796
914,1,-4.6699047
915,1,-6.970554
916,0,-6.970554
917,0,-6.970554
918,1,-5.7886662
919,0,-6.970554
920,1,-3.617044
921,0,-6.557439
922,0,-6.841844
923,1,-3.1308367
924,0,-6.970554
925,0,-6.970554
926,0,-6.970554
927,1,-6.970554
928,0,-6.970554
929,0,-6.970554
930,1,-4.947903
931,1,-0.6073368
932,1,-4.5966372
933,1,-3.3132153
934,0,-6.970554
935,0,-6.970554
936,0,-6.698151
937,0,-6.970554
938,1,-5.0983067
939,0,-6.970554
940,0,-6.148662
941,0,-6.2186413
942,1,-5.9782915
943,0,-6.8476286
944,0,-6.970554
945,1,-6.970554
946,1,-3.2192771
947,0,-6.970554
948,0,-5.942286
949,1,-5.5670333
950,0,-6.970554
951,0,-6.970554
952,0,-6.970554
953,1,-6.52508
954,1,-4.8441854
955,1,-3.53647
956,1,-3.3120728
957,0,-7.172637
958,0,-6.970554
959,0,-6.970554
960,1,0.84198684
961,0,-6.970554
962,0,-6.970554
963,1,-6.970554
964,0,-6.970554
965,1,-5.613493
966,0,-6.970554
967,0,-6.970554
968,1,-5.4510183
969,1,-6.3188105
970,0,-5.749353
971,1,-5.5142326
972,0,-5.5142326
973,1,-1.8509566
974,0,-1.8509566
975,1,-5.2024646
976,1,-6.970554
977,0,-6.970554
978,1,-3.6185892
979,1,-3.030231
980,0,-6.3553557
981,1,-5.788354
982,1,-4.424416
983,1,-2.4146876
984,1,-4.7415743
985,0,-6.970554
986,1,0.18699071
987,0,-6.1763783
988,1,-5.1431265
989,0,-6.582557
990,1,-3.170369
991,1,-6.183921
992,0,-6.970554
993,1,-4.4557686
994,1,-1.6261089
995,1,-1.6261089
996,0,-6.970554
997,1,-3.7199605
998,1,-4.3232365
999,1,-4.3232365
1000,0,-6.970554
1001,1,-4.2909985
1002,0,-4.2909985
1003,0,-6.970554
1004,1,-6.970554
1005,1,-4.3338323
1006,1,-6.970554
1007,1,-5.5445943
1008,1,-6.970554
1009,0,-4.675
1010,1,-6.970554
1011,0,-0.5533047
1012,1,-4.6906376
1013,1,-4.902844
1014,1,-4.9202275
1015,1,-5.7937846
1016,0,-6.970554
1017,1,-5.929018
1018,1,-6.970554
1019,1,-5.621473
1020,1,-5.898508
1021,0,-6.970554
1022,0,-6.970554
1023,1,-3.3082485
1024,0,-3.3082485
1025,1,-5.631273
1026,0,-2.537319
1027,1,-3.0962744
1028,0,-6.970554
1029,0,-4.694704
1030,0,-6.970554
1031,1,-2.5951455
1032,1,-6.4920444
1033,1,-3.3002899
1034,0,-4.041154
1035,1,-4.5198126
1036,1,-6.970554
1037,1,-2.6263502
1038,0,-6.970554
1039,1,-5.699191
1040,0,-6.970554
1041,1,-0.4398497
1042,1,-4.6497555
1043,1,-3.942054
1044,0,-6.970554
1045,1,-5.4975033
1046,0,-6.970554
1047,0,-6.970554
1048,0,-6.970554
1049,1,-2.002141
1050,1,-2.7249818
1051,1,-3.0289695
1052,0,-6.970554
1053,0,-6.970554
1054,1,-6.970554
1055,0,-6.970554
1056,1,-4.5935464
1057,0,-6.970554
1058,0,-6.970554
1059,0,-6.970554
1060,0,-6.970554
1061,0,-6.7054825
1062,0,-6.4046583
1063,0,-6.970554
1064,1,-4.141408
1065,1,-2.3235538
1066,1,-6.970554
1067,0,-6.970554
1068,0,-6.970554
1069,1,-4.706308
1070,1,-0.08358022
1071,1,-5.214096
1072,0,-5.5938296
1073,1,-4.1736474
1074,1,-4.574407
1075,0,-6.970554
1076,0,-6.970554
1077,0,-6.970554
1078,0,-6.970554
1079,0,-6.970554
1080,0,-6.970554
1081,0,-6.970554
1082,0,-6.970554
1083,0,-6.970554
1084,0,-6.970554
1085,0,-6.970554
1086,0,-6.970554
1087,0,-6.970554
1088,0,-6.970554
1089,0,-6.970554
1090,0,-6.970554
1091,0,-6.970554
1092,0,-6.970554
1093,0,-6.970554
1094,0,-6.970554
1095,0,-6.970554
1096,0,-6.970554
1097,0,-6.970554
1098,0,-6.970554
1099,0,-5.4227896
1100,1,-6.1659403
1101,1,-2.904469
1102,0,-6.970554
1103,1,-6.970554
1104,0,-6.970554
1105,1,-6.970554
1106,0,-6.970554
1107,1,-2.0558484
1108,0,-6.970554
1109,1,-5.4549117
1110,0,-6.970554
1111,0,-6.970554
1112,1,-5.9213467
1113,0,-5.9213467
1114,0,-6.970554
1115,1,-4.134539
1116,1,-6.2684216
1117,1,-6.2684216
1118,1,-5.526238
1119,1,-6.970554
1120,1,-4.833722
1121,1,-2.2308655
1122,1,-2.2308655
1123,1,-6.389396
1124,1,-6.5174227
1125,0,-4.0570073
1126,0,-3.5219588
1127,0,-3.5219588
1128,0,-6.970554
1129,1,-5.366527
1130,1,-6.5220737
1131,1,-6.707737
1132,1,-6.707737
1133,1,-6.970554
1134,1,-5.224572
1135,1,-4.997395
1136,0,-6.970554
1137,0,-6.970554
1138,0,-6.970554
1139,0,-6.970554
1140,1,-6.4805408
1141,0,-6.970554
1142,1,-1.7496532
1143,1,-3.773511
1144,0,-6.970554
1145,1,-6.970554
1146,0,-6.970554
1147,1,-5.5053377
1148,1,-1.507425
1149,1,-5.4381375
1150,1,-5.7496033
1151,1,-6.970554
1152,0,-6.970554
1153,1,-6.0515866
1154,1,-6.0515866
1155,1,5.005527
1156,1,-3.7589872
1157,1,-0.5748549
1158,1,-5.9463673
1159,0,-6.970554
1160,1,-6.970554
1161,1,-6.970554
1162,0,-6.970554
1163,1,-6.970554
1164,0,-6.970554
1165,0,-6.970554
1166,1,-6.970554
1167,1,-4.331323
1168,1,-6.970554
1169,1,-5.088654
1170,0,-6.970554
1171,0,-6.970554
1172,1,-2.7481241
1173,1,-5.822075
1174,1,-5.5304036
1175,0,-6.970554
1176,0,-6.970554
1177,1,-6.164068
1178,0,-6.970554
1179,1,-6.970554
1180,1,-4.0052357
1181,0,-4.0052357
1182,1,-5.2995343
1183,1,-6.2682633
1184,1,-6.970554
1185,0,-6.970554
1186,1,-2.5239635
1187,1,-5.139012
1188,1,-5.6104493
1189,1,-6.0536575
1190,1,-6.4528027
1191,1,-6.970554
1192,1,-6.970554
1193,0,-6.970554
1194,0,-6.970554
1195,1,-6.779955
1196,1,-2.1590967
1197,0,-6.970554
1198,0,-6.970554
1199,0,-6.970554
1200,0,-6.970554
1201,0,-6.970554
1202,0,-6.970554
1203,0,-6.970554
1204,0,-6.970554
1205,0,-6.970554
1206,0,-6.970554
1207,0,-6.970554
1208,0,-6.970554
1209,0,-6.970554
1210,0,-6.970554
1211,0,-6.970554
1212,1,-6.970554
1213,1,-3.8236988
1214,0,-6.970554
1215,1,-2.0490837
1216,1,-2.0490837
1217,0,-6.970554
1218,0,-6.970554
1219,1,-4.993509
1220,0,-6.970554
1221,0,-6.970554
1222,1,-5.6585298
1223,0,-2.4550984
1224,1,-5.8498178
1225,1,-6.970554
1226,0,-6.970554
1227,0,-6.970554
1228,0,-6.582557
1229,1,-5.794132
1230,1,-5.1823926
1231,0,-6.970554
1232,1,-5.322262
1233,0,-6.970554
1234,1,-6.970554
1235,1,-6.970554
1236,1,-4.3466477
1237,0,-6.970554
1238,1,-3.8438978
1239,1,-3.6565735
1240,1,-3.1854122
1241,0,-6.8136253
1242,0,-5.1761413
1243,1,-5.0403175
1244,0,-6.970554
1245,0,-6.970554
1246,1,-4.8099895
1247,1,-6.01029
1248,1,-6.0221457
1249,1,-6.1237993
1250,1,-5.6945233
1251,1,-6.779955
1252,1,-5.378546
1253,1,-2.9643843
1254,1,-5.9446516
1255,1,-6.970554
1256,0,-6.970554
1257,0,-6.970554
1258,1,-1.513704
1259,0,-6.970554
1260,1,-5.769326
1261,1,-5.769326
1262,1,-4.2675824
1263,1,-5.082561
1264,1,-5.5685167
1265,1,-5.3304033
1266,1,-4.4277496
1267,1,-6.9310718
1268,1,-5.622548
1269,1,-6.541831
1270,1,-5.143535
1271,0,-5.111218
1272,1,-6.465661
1273,1,-6.970554
1274,1,-6.234451
1275,1,-6.057676
1276,1,-6.970554
1277,1,-5.2811875
1278,0,-6.970554
1279,1,-4.825646
1280,1,-4.2246547
1281,0,-2.7545462
1282,1,-5.9038205
1283,1,-5.9038205
1284,1,-6.074085
1285,1,-6.5148835
1286,1,-4.9173207
1287,0,-6.970554
1288,0,-6.970554
1289,1,-6.970554
1290,0,-6.970554
1291,0,-6.970554
1292,0,-4.337561
1293,1,-5.6692505
1294,1,-6.267917
1295,1,-5.956286
1296,0,-6.663308
1297,1,-6.970554
1298,0,-5.7109222
1299,0,-6.970554
1300,0,-6.970554
1301,1,-4.935984
1302,1,-5.2286115
1303,0,-6.970554
1304,1,-6.7860503
1305,1,-5.0252643
1306,1,-5.2366505
1307,0,-6.970554
1308,1,-6.3727283
1309,1,-2.0887773
1310,0,-2.0887773
1311,1,-1.7966164
1312,1,-6.1661234
1313,1,-4.970453
1314,1,-6.970554
1315,0,-6.970554
1316,1,-6.970554
1317,0,-6.6743116
