Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Gene name,Gene stable ID,Gene type,tss,tss -2kb,tss +2kb,test_id,orig_gene_name,locus,orig_start,orig_end
1,840214,851356,1,RP11-54O7.16,ENSG00000272438,lincRNA,840214,838214,842214,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,852245,856396,-1,RP11-54O7.3,ENSG00000223764,lincRNA,856396,854396,858396,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,860260,879955,1,SAMD11,ENSG00000187634,protein_coding,860260,858260,862260,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,861264,866445,-1,AL645608.1,ENSG00000268179,protein_coding,866445,864445,868445,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,879584,894689,-1,NOC2L,ENSG00000188976,protein_coding,894689,892689,896689,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,895967,901095,1,KLHL17,ENSG00000187961,protein_coding,895967,893967,897967,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,901877,911245,1,PLEKHN1,ENSG00000187583,protein_coding,901877,899877,903877,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,910579,917497,-1,C1orf170,ENSG00000187642,protein_coding,917497,915497,919497,XLOC_000007,KLHL17,chr1:851135-917473,851135,917473
1,840214,851356,1,RP11-54O7.16,ENSG00000272438,lincRNA,840214,838214,842214,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,852245,856396,-1,RP11-54O7.3,ENSG00000223764,lincRNA,856396,854396,858396,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,860260,879955,1,SAMD11,ENSG00000187634,protein_coding,860260,858260,862260,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,861264,866445,-1,AL645608.1,ENSG00000268179,protein_coding,866445,864445,868445,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,879584,894689,-1,NOC2L,ENSG00000188976,protein_coding,894689,892689,896689,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,895967,901095,1,KLHL17,ENSG00000187961,protein_coding,895967,893967,897967,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,901877,911245,1,PLEKHN1,ENSG00000187583,protein_coding,901877,899877,903877,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,910579,917497,-1,C1orf170,ENSG00000187642,protein_coding,917497,915497,919497,XLOC_000007,PLEKHN1,chr1:851135-917473,851135,917473
1,948803,949920,1,ISG15,ENSG00000187608,protein_coding,948803,946803,950803,XLOC_000008,ISG15,chr1:948846-949919,948846,949919
1,955503,991496,1,AGRN,ENSG00000188157,protein_coding,955503,953503,957503,XLOC_000009,AGRN,chr1:955397-991570,955397,991570
1,990413,991496,1,RP11-54O7.14,ENSG00000242590,sense_intronic,990413,988413,992413,XLOC_000009,AGRN,chr1:955397-991570,955397,991570
1,995114,1004735,1,RP11-465B22.3,ENSG00000217801,pseudogene,995114,993114,997114,XLOC_000010,-,chr1:993794-1004436,993794,1004436
1,997588,998668,-1,RP11-54O7.18,ENSG00000273443,lincRNA,998668,996668,1000668,XLOC_000010,-,chr1:993794-1004436,993794,1004436
1,995114,1004735,1,RP11-465B22.3,ENSG00000217801,pseudogene,995114,993114,997114,XLOC_000011,-,chr1:1004537-1006002,1004537,1006002
1,1072397,1079436,1,RP11-465B22.5,ENSG00000223823,lincRNA,1072397,1070397,1074397,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1102484,1102578,1,MIR200B,ENSG00000207730,miRNA,1102484,1100484,1104484,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1103243,1103332,1,MIR200A,ENSG00000207607,miRNA,1103243,1101243,1105243,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1104385,1104467,1,MIR429,ENSG00000198976,miRNA,1104385,1102385,1106385,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1104737,1105723,1,RP11-465B22.8,ENSG00000272141,lincRNA,1104737,1102737,1106737,XLOC_000012,MIR200A,chr1:1058324-1105717,1058324,1105717
1,1072397,1079436,1,RP11-465B22.5,ENSG00000223823,lincRNA,1072397,1070397,1074397,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1102484,1102578,1,MIR200B,ENSG00000207730,miRNA,1102484,1100484,1104484,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1103243,1103332,1,MIR200A,ENSG00000207607,miRNA,1103243,1101243,1105243,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1104385,1104467,1,MIR429,ENSG00000198976,miRNA,1104385,1102385,1106385,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1104737,1105723,1,RP11-465B22.8,ENSG00000272141,lincRNA,1104737,1102737,1106737,XLOC_000012,MIR200B,chr1:1058324-1105717,1058324,1105717
1,1072397,1079436,1,RP11-465B22.5,ENSG00000223823,lincRNA,1072397,1070397,1074397,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1102484,1102578,1,MIR200B,ENSG00000207730,miRNA,1102484,1100484,1104484,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1103243,1103332,1,MIR200A,ENSG00000207607,miRNA,1103243,1101243,1105243,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1104385,1104467,1,MIR429,ENSG00000198976,miRNA,1104385,1102385,1106385,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1104737,1105723,1,RP11-465B22.8,ENSG00000272141,lincRNA,1104737,1102737,1106737,XLOC_000012,MIR429,chr1:1058324-1105717,1058324,1105717
1,1072397,1079436,1,RP11-465B22.5,ENSG00000223823,lincRNA,1072397,1070397,1074397,XLOC_000013,-,chr1:1058324-1105717,1058324,1105717
1,1102484,1102578,1,MIR200B,ENSG00000207730,miRNA,1102484,1100484,1104484,XLOC_000013,-,chr1:1058324-1105717,1058324,1105717
1,1103243,1103332,1,MIR200A,ENSG00000207607,miRNA,1103243,1101243,1105243,XLOC_000013,-,chr1:1058324-1105717,1058324,1105717
1,1104385,1104467,1,MIR429,ENSG00000198976,miRNA,1104385,1102385,1106385,XLOC_000013,-,chr1:1058324-1105717,1058324,1105717
1,1104737,1105723,1,RP11-465B22.8,ENSG00000272141,lincRNA,1104737,1102737,1106737,XLOC_000013,-,chr1:1058324-1105717,1058324,1105717
1,1108436,1114935,-1,TTLL10-AS1,ENSG00000205231,antisense,1114935,1112935,1116935,XLOC_000014,TTLL10,chr1:1109285-1133313,1109285,1133313
1,1109264,1133315,1,TTLL10,ENSG00000162571,protein_coding,1109264,1107264,1111264,XLOC_000014,TTLL10,chr1:1109285-1133313,1109285,1133313
1,1152288,1167411,-1,SDF4,ENSG00000078808,protein_coding,1167411,1165411,1169411,XLOC_000015,B3GALT6,chr1:1152280-1175955,1152280,1175955
1,1167629,1170421,1,B3GALT6,ENSG00000176022,protein_coding,1167629,1165629,1169629,XLOC_000015,B3GALT6,chr1:1152280-1175955,1152280,1175955
1,1177826,1182102,-1,FAM132A,ENSG00000184163,protein_coding,1182102,1180102,1184102,XLOC_000017,-,chr1:1177832-1185465,1177832,1185465
1,1185157,1186714,-1,RP5-902P8.12,ENSG00000260179,lincRNA,1186714,1184714,1188714,XLOC_000017,-,chr1:1177832-1185465,1177832,1185465
1,1210603,1215800,1,RP5-902P8.10,ENSG00000230415,lincRNA,1210603,1208603,1212603,XLOC_000018,SCNN1D,chr1:1209396-1227409,1209396,1227409
1,1215816,1227409,1,SCNN1D,ENSG00000162572,protein_coding,1215816,1213816,1217816,XLOC_000018,SCNN1D,chr1:1209396-1227409,1209396,1227409
1,1227756,1244989,-1,ACAP3,ENSG00000131584,protein_coding,1244989,1242989,1246989,XLOC_000019,PUSL1,chr1:1227622-1260070,1227622,1260070
1,1243947,1247057,1,PUSL1,ENSG00000169972,protein_coding,1243947,1241947,1245947,XLOC_000019,PUSL1,chr1:1227622-1260070,1227622,1260070
1,1246965,1260071,-1,CPSF3L,ENSG00000127054,protein_coding,1260071,1258071,1262071,XLOC_000019,PUSL1,chr1:1227622-1260070,1227622,1260070
1,1252961,1254069,-1,RP5-890O3.9,ENSG00000240731,sense_intronic,1254069,1252069,1256069,XLOC_000019,PUSL1,chr1:1227622-1260070,1227622,1260070
1,1260136,1264277,1,GLTPD1,ENSG00000224051,protein_coding,1260136,1258136,1262136,XLOC_000020,GLTPD1,chr1:1260121-1265313,1260121,1265313
1,1266694,1270686,1,TAS1R3,ENSG00000169962,protein_coding,1266694,1264694,1268694,XLOC_000021,TAS1R3,chr1:1266408-1284820,1266408,1284820
1,1270656,1284730,-1,DVL1,ENSG00000107404,protein_coding,1284730,1282730,1286730,XLOC_000021,TAS1R3,chr1:1266408-1284820,1266408,1284820
1,1288069,1297157,-1,MXRA8,ENSG00000162576,protein_coding,1297157,1295157,1299157,XLOC_000023,MXRA8,chr1:1286794-1298899,1286794,1298899
1,1321091,1334708,-1,CCNL2,ENSG00000221978,protein_coding,1334708,1332708,1336708,XLOC_000024,LOC148413,chr1:1321026-1342693,1321026,1342693
1,1334902,1337426,1,RP4-758J18.2,ENSG00000224870,protein_coding,1334902,1332902,1336902,XLOC_000024,LOC148413,chr1:1321026-1342693,1321026,1342693
1,1337288,1342693,-1,MRPL20,ENSG00000242485,protein_coding,1342693,1340693,1344693,XLOC_000024,LOC148413,chr1:1321026-1342693,1321026,1342693
1,1340841,1341132,-1,RN7SL657P,ENSG00000264293,misc_RNA,1341132,1339132,1343132,XLOC_000024,LOC148413,chr1:1321026-1342693,1321026,1342693
1,1361508,1363167,1,TMEM88B,ENSG00000205116,protein_coding,1361508,1359508,1363508,XLOC_000025,TMEM88B,chr1:1361507-1363167,1361507,1363167
1,1365919,1369953,-1,RP4-758J18.10,ENSG00000225285,lincRNA,1369953,1367953,1371953,XLOC_000026,VWA1,chr1:1363523-1381246,1363523,1381246
1,1370241,1378262,1,VWA1,ENSG00000179403,protein_coding,1370241,1368241,1372241,XLOC_000026,VWA1,chr1:1363523-1381246,1363523,1381246
1,1385069,1405538,1,ATAD3C,ENSG00000215915,protein_coding,1385069,1383069,1387069,XLOC_000027,ATAD3C,chr1:1383483-1406558,1383483,1406558
1,1407143,1433228,1,ATAD3B,ENSG00000160072,protein_coding,1407143,1405143,1409143,XLOC_000028,ATAD3B,chr1:1406662-1433132,1406662,1433132
1,1447531,1470067,1,ATAD3A,ENSG00000197785,protein_coding,1447531,1445531,1449531,XLOC_000029,ATAD3A,chr1:1446382-1470085,1446382,1470085
1,1549138,1551175,-1,RP11-345P4.9,ENSG00000272106,antisense,1551175,1549175,1553175,XLOC_000031,MIB2,chr1:1549011-1566996,1549011,1566996
1,1550795,1565990,1,MIB2,ENSG00000197530,protein_coding,1550795,1548795,1552795,XLOC_000031,MIB2,chr1:1549011-1566996,1549011,1566996
1,1567474,1570639,1,MMP23B,ENSG00000189409,protein_coding,1567474,1565474,1569474,XLOC_000032,MMP23B,chr1:1567559-1570030,1567559,1570030
1,1567474,1570639,1,MMP23B,ENSG00000189409,protein_coding,1567474,1565474,1569474,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1570603,1590473,-1,CDK11B,ENSG00000248333,protein_coding,1590473,1588473,1592473,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1590786,1594063,1,RP11-345P4.10,ENSG00000272004,antisense,1590786,1588786,1592786,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1592939,1624167,-1,SLC35E2B,ENSG00000189339,protein_coding,1624167,1622167,1626167,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1603429,1604850,1,RP11-345P4.7,ENSG00000269737,antisense,1603429,1601429,1605429,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1604714,1605836,1,RP11-345P4.6,ENSG00000269227,pseudogene,1604714,1602714,1606714,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1631369,1633249,1,MMP23A,ENSG00000215914,pseudogene,1631369,1629369,1633369,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1634169,1655766,-1,CDK11A,ENSG00000008128,protein_coding,1655766,1653766,1657766,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1634175,1669127,-1,RP1-283E3.8,ENSG00000268575,processed_transcript,1669127,1667127,1671127,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1655951,1668690,1,RP1-283E3.4,ENSG00000227775,pseudogene,1655951,1653951,1657951,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1656277,1677431,-1,SLC35E2,ENSG00000215790,protein_coding,1677431,1675431,1679431,XLOC_000033,MMP23A,chr1:1570404-1678935,1570404,1678935
1,1567474,1570639,1,MMP23B,ENSG00000189409,protein_coding,1567474,1565474,1569474,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1570603,1590473,-1,CDK11B,ENSG00000248333,protein_coding,1590473,1588473,1592473,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1590786,1594063,1,RP11-345P4.10,ENSG00000272004,antisense,1590786,1588786,1592786,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1592939,1624167,-1,SLC35E2B,ENSG00000189339,protein_coding,1624167,1622167,1626167,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1603429,1604850,1,RP11-345P4.7,ENSG00000269737,antisense,1603429,1601429,1605429,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1604714,1605836,1,RP11-345P4.6,ENSG00000269227,pseudogene,1604714,1602714,1606714,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1631369,1633249,1,MMP23A,ENSG00000215914,pseudogene,1631369,1629369,1633369,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1634169,1655766,-1,CDK11A,ENSG00000008128,protein_coding,1655766,1653766,1657766,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1634175,1669127,-1,RP1-283E3.8,ENSG00000268575,processed_transcript,1669127,1667127,1671127,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1655951,1668690,1,RP1-283E3.4,ENSG00000227775,pseudogene,1655951,1653951,1657951,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1656277,1677431,-1,SLC35E2,ENSG00000215790,protein_coding,1677431,1675431,1679431,XLOC_000034,SLC35E2,chr1:1570404-1678935,1570404,1678935
1,1846266,1848735,1,CALML6,ENSG00000169885,protein_coding,1846266,1844266,1848266,XLOC_000035,CALML6,chr1:1845090-1848733,1845090,1848733
1,1950780,1962192,1,GABRD,ENSG00000187730,protein_coding,1950780,1948780,1952780,XLOC_000036,GABRD,chr1:1950767-1962193,1950767,1962193
1,1980642,1981509,-1,RP11-547D24.3,ENSG00000226969,antisense,1981509,1979509,1983509,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,1981909,2116834,1,PRKCZ,ENSG00000067606,protein_coding,1981909,1979909,1983909,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2072523,2076718,-1,RP5-892K4.1,ENSG00000271806,antisense,2076718,2074718,2078718,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2113233,2115828,-1,RP11-181G12.2,ENSG00000182873,antisense,2115828,2113828,2117828,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2115903,2144159,-1,C1orf86,ENSG00000162585,protein_coding,2144159,2142159,2146159,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2121237,2123179,1,AL590822.2,ENSG00000269554,protein_coding,2121237,2119237,2123237,XLOC_000037,PRKCZ,chr1:1979949-2139172,1979949,2139172
1,2160134,2241558,1,SKI,ENSG00000157933,protein_coding,2160134,2158134,2162134,XLOC_000038,SKI,chr1:2159830-2241854,2159830,2241854
1,2323267,2336883,1,RER1,ENSG00000157916,protein_coding,2323267,2321267,2325267,XLOC_000039,RER1,chr1:2323213-2345429,2323213,2345429
1,2336236,2345236,-1,PEX10,ENSG00000157911,protein_coding,2345236,2343236,2347236,XLOC_000039,RER1,chr1:2323213-2345429,2323213,2345429
1,2357419,2436969,1,PLCH2,ENSG00000149527,protein_coding,2357419,2355419,2359419,XLOC_000040,PLCH2,chr1:2407753-2436966,2407753,2436966
1,2423739,2424697,-1,RP3-395M20.2,ENSG00000224387,antisense,2424697,2422697,2426697,XLOC_000040,PLCH2,chr1:2407753-2436966,2407753,2436966
1,2424876,2425918,-1,RP3-395M20.3,ENSG00000229393,antisense,2425918,2423918,2427918,XLOC_000040,PLCH2,chr1:2407753-2436966,2407753,2436966
1,2477904,2478899,1,RP3-395M20.12,ENSG00000272449,lincRNA,2477904,2475904,2479904,XLOC_000041,TNFRSF14,chr1:2477718-2495317,2477718,2495317
1,2481359,2488470,-1,RP3-395M20.8,ENSG00000238164,processed_transcript,2488470,2486470,2490470,XLOC_000041,TNFRSF14,chr1:2477718-2495317,2477718,2495317
1,2487078,2496821,1,TNFRSF14,ENSG00000157873,protein_coding,2487078,2485078,2489078,XLOC_000041,TNFRSF14,chr1:2477718-2495317,2477718,2495317
1,2517930,2522908,1,FAM213B,ENSG00000157870,protein_coding,2517930,2515930,2519930,XLOC_000042,C1orf93,chr1:2517800-2564481,2517800,2564481
1,2522078,2564481,-1,MMEL1,ENSG00000142606,protein_coding,2564481,2562481,2566481,XLOC_000042,C1orf93,chr1:2517800-2564481,2517800,2564481
1,2564007,2568059,1,RP13-436F16.1,ENSG00000237058,antisense,2564007,2562007,2566007,XLOC_000042,C1orf93,chr1:2517800-2564481,2517800,2564481
1,2938046,2939465,1,ACTRT2,ENSG00000169717,protein_coding,2938046,2936046,2940046,XLOC_000043,ACTRT2,chr1:2938045-2939467,2938045,2939467
1,2976179,2985001,-1,LINC00982,ENSG00000177133,antisense,2985001,2983001,2987001,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,2978523,2978959,-1,AL008733.1,ENSG00000256761,pseudogene,2978959,2976959,2980959,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,2985732,3355185,1,PRDM16,ENSG00000142611,protein_coding,2985732,2983732,2987732,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,3049491,3050273,-1,RP1-163G9.2,ENSG00000226286,antisense,3050273,3048273,3052273,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,3223200,3226660,-1,RP11-22L13.1,ENSG00000272235,lincRNA,3226660,3224660,3228660,XLOC_000044,PRDM16,chr1:2976180-3355185,2976180,3355185
1,2976179,2985001,-1,LINC00982,ENSG00000177133,antisense,2985001,2983001,2987001,XLOC_000045,MIR4251,chr1:2976180-3355185,2976180,3355185
1,2978523,2978959,-1,AL008733.1,ENSG00000256761,pseudogene,2978959,2976959,2980959,XLOC_000045,MIR4251,chr1:2976180-3355185,2976180,3355185
1,2985732,3355185,1,PRDM16,ENSG00000142611,protein_coding,2985732,2983732,2987732,XLOC_000045,MIR4251,chr1:2976180-3355185,2976180,3355185
1,3049491,3050273,-1,RP1-163G9.2,ENSG00000226286,antisense,3050273,3048273,3052273,XLOC_000045,MIR4251,chr1:2976180-3355185,2976180,3355185
1,3223200,3226660,-1,RP11-22L13.1,ENSG00000272235,lincRNA,3226660,3224660,3228660,XLOC_000045,MIR4251,chr1:2976180-3355185,2976180,3355185
1,3370990,3397677,1,ARHGEF16,ENSG00000130762,protein_coding,3370990,3368990,3372990,XLOC_000046,ARHGEF16,chr1:3366055-3402204,3366055,3402204
1,3541566,3546691,1,TPRG1L,ENSG00000158109,protein_coding,3541566,3539566,3543566,XLOC_000047,TPRG1L,chr1:3541555-3546694,3541555,3546694
1,3547331,3569325,-1,WRAP73,ENSG00000116213,protein_coding,3569325,3567325,3571325,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3569084,3652765,1,TP73,ENSG00000078900,protein_coding,3569084,3567084,3571084,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3575502,3585336,-1,RP5-1092A11.5,ENSG00000227589,antisense,3585336,3583336,3587336,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3628764,3630862,-1,RP5-1092A11.2,ENSG00000235131,antisense,3630862,3628862,3632862,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3652548,3663900,-1,TP73-AS1,ENSG00000227372,antisense,3663900,3661900,3665900,XLOC_000048,TP73,chr1:3568576-3663980,3568576,3663980
1,3668962,3688209,1,CCDC27,ENSG00000162592,protein_coding,3668962,3666962,3670962,XLOC_000049,CCDC27,chr1:3668964-3688209,3668964,3688209
1,3689352,3692546,1,SMIM1,ENSG00000235169,protein_coding,3689352,3687352,3691352,XLOC_000050,LOC388588,chr1:3689228-3713200,3689228,3713200
1,3696784,3713068,-1,LRRC47,ENSG00000130764,protein_coding,3713068,3711068,3715068,XLOC_000050,LOC388588,chr1:3689228-3713200,3689228,3713200
1,3699379,3699673,1,RN7SL574P,ENSG00000266075,misc_RNA,3699379,3697379,3701379,XLOC_000050,LOC388588,chr1:3689228-3713200,3689228,3713200
1,3701572,3702102,1,RP1-286D6.5,ENSG00000272153,antisense,3701572,3699572,3703572,XLOC_000050,LOC388588,chr1:3689228-3713200,3689228,3713200
1,3773845,3801993,1,DFFB,ENSG00000169598,protein_coding,3773845,3771845,3775845,XLOC_000051,DFFB,chr1:3773844-3803258,3773844,3803258
1,3800628,3800697,1,AL691523.1,ENSG00000264428,miRNA,3800628,3798628,3802628,XLOC_000051,DFFB,chr1:3773844-3803258,3773844,3803258
1,3816936,3833789,1,LINC01134,ENSG00000236423,lincRNA,3816936,3814936,3818936,XLOC_000052,LOC100133612,chr1:3816937-3834097,3816937,3834097
1,4472111,4484747,1,RP5-1166F10.1,ENSG00000235054,lincRNA,4472111,4470111,4474111,XLOC_000053,LOC284661,chr1:4472110-4484744,4472110,4484744
1,4714792,4852594,1,AJAP1,ENSG00000196581,protein_coding,4714792,4712792,4716792,XLOC_000054,AJAP1,chr1:4715104-4843851,4715104,4843851
1,5922732,5922801,-1,MIR4689,ENSG00000264101,miRNA,5922801,5920801,5924801,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,5922871,6052533,-1,NPHP4,ENSG00000131697,protein_coding,6052533,6050533,6054533,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,5953899,5953984,-1,AL356261.1,ENSG00000266687,miRNA,5953984,5951984,5955984,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,6051526,6161253,1,KCNAB2,ENSG00000069424,protein_coding,6051526,6049526,6053526,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,6100630,6101399,-1,AL035406.1,ENSG00000268332,protein_coding,6101399,6099399,6103399,XLOC_000055,KCNAB2,chr1:5922021-6161253,5922021,6161253
1,6241329,6269449,-1,RPL22,ENSG00000116251,protein_coding,6269449,6267449,6271449,XLOC_000056,RNF207,chr1:6265650-6296076,6265650,6296076
1,6264900,6265840,-1,RP1-120G22.11,ENSG00000226944,antisense,6265840,6263840,6267840,XLOC_000056,RNF207,chr1:6265650-6296076,6265650,6296076
1,6265535,6281359,1,RNF207,ENSG00000158286,protein_coding,6265535,6263535,6267535,XLOC_000056,RNF207,chr1:6265650-6296076,6265650,6296076
1,6281253,6296032,-1,ICMT,ENSG00000116237,protein_coding,6296032,6294032,6298032,XLOC_000056,RNF207,chr1:6265650-6296076,6265650,6296076
1,6296300,6299504,1,LINC00337,ENSG00000225077,antisense,6296300,6294300,6298300,XLOC_000057,-,chr1:6296165-6299471,6296165,6299471
1,6304252,6305638,1,HES3,ENSG00000173673,protein_coding,6304252,6302252,6306252,XLOC_000058,HES3,chr1:6304251-6305638,6304251,6305638
1,6484848,6521430,1,ESPN,ENSG00000187017,protein_coding,6484848,6482848,6486848,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6489894,6489956,-1,MIR4252,ENSG00000265392,miRNA,6489956,6487956,6491956,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6503094,6507066,-1,RP1-202O8.2,ENSG00000231868,antisense,6507066,6505066,6509066,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6521211,6526255,-1,TNFRSF25,ENSG00000215788,protein_coding,6526255,6524255,6528255,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6526152,6580121,-1,PLEKHG5,ENSG00000171680,protein_coding,6580121,6578121,6582121,XLOC_000059,ESPN,chr1:6484840-6580069,6484840,6580069
1,6581407,6614595,-1,NOL9,ENSG00000162408,protein_coding,6614595,6612595,6616595,XLOC_000060,TAS1R1,chr1:6581279-6639817,6581279,6639817
