gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000040633,71,0,73,100,0,26.549
ENSG00000040731,0,0,0,0,0,0.001
ENSG00000040933,14,0,22,16,0,2.083
ENSG00000041353,0,0,0,0,0,1.068
ENSG00000041357,23,0,22,23,0,43.961
ENSG00000041515,0,2,0,0,0,1.142
ENSG00000041802,30,0,19,16,0,10.407
ENSG00000041880,18,0,27,22,0,11.586
ENSG00000041982,0,0,0,0,7,4.565
ENSG00000041988,21,0,14,59,0,3.015
ENSG00000042062,6,0,0,51,0,4.1
ENSG00000042088,26,0,30,29,0,2.191
ENSG00000042286,10,0,12,12,0,5.67
ENSG00000042304,0,0,0,0,0,0.0
ENSG00000042317,16,0,20,14,0,1.278
ENSG00000042429,25,0,23,17,0,1.693
ENSG00000042445,26,0,24,18,0,102.549
